id_of_Operation,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
O1001,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1002,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1003,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1004,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1005,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1006,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1007,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1008,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1009,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1010,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1011,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1012,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1013,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1014,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1015,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1016,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1017,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1018,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1019,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O102,1069.0,1079.0,10.0,2017-10-14 17:49:00,2017-10-14 17:59:00,0,1
O1020,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O103,1061.0,1069.0,8.0,2017-10-14 17:41:00,2017-10-14 17:49:00,0,1
O106,1737.0,1745.0,8.0,2017-10-15 04:57:00,2017-10-15 05:05:00,0,1
O113,1006.0,1016.0,10.0,2017-10-14 16:46:00,2017-10-14 16:56:00,0,1
O116,1091.0,1121.0,30.0,2017-10-14 18:11:00,2017-10-14 18:41:00,0,1
O122,100.0,110.0,10.0,2017-10-14 01:40:00,2017-10-14 01:50:00,0,1
O128,569.0,584.0,15.0,2017-10-14 09:29:00,2017-10-14 09:44:00,0,1
O134,1121.0,1133.0,12.0,2017-10-14 18:41:00,2017-10-14 18:53:00,0,1
O135,584.0,599.0,15.0,2017-10-14 09:44:00,2017-10-14 09:59:00,0,1
O138,852.0,874.0,22.0,2017-10-14 14:12:00,2017-10-14 14:34:00,0,1
O139,762.0,852.0,90.0,2017-10-14 12:42:00,2017-10-14 14:12:00,0,1
O141,110.0,120.0,10.0,2017-10-14 01:50:00,2017-10-14 02:00:00,0,1
O145,561.0,569.0,8.0,2017-10-14 09:21:00,2017-10-14 09:29:00,0,1
O146,549.0,561.0,12.0,2017-10-14 09:09:00,2017-10-14 09:21:00,0,1
O147,527.0,549.0,22.0,2017-10-14 08:47:00,2017-10-14 09:09:00,0,1
O150,512.0,527.0,15.0,2017-10-14 08:32:00,2017-10-14 08:47:00,0,1
O151,1492.0,1504.0,12.0,2017-10-15 00:52:00,2017-10-15 01:04:00,0,1
O153,120.0,131.0,11.0,2017-10-14 02:00:00,2017-10-14 02:11:00,0,1
O154,361.0,372.0,11.0,2017-10-14 06:01:00,2017-10-14 06:12:00,0,1
O155,341.0,361.0,20.0,2017-10-14 05:41:00,2017-10-14 06:01:00,0,1
O156,417.0,428.0,11.0,2017-10-14 06:57:00,2017-10-14 07:08:00,0,1
O157,1461.0,1472.0,11.0,2017-10-15 00:21:00,2017-10-15 00:32:00,0,1
O159,131.0,141.0,10.0,2017-10-14 02:11:00,2017-10-14 02:21:00,0,1
O162,1348.0,1360.0,12.0,2017-10-14 22:28:00,2017-10-14 22:40:00,0,1
