id_of_Operation,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
O1001,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1002,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1003,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1004,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1005,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1006,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1007,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1008,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1009,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1010,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1011,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1012,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1013,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1014,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1015,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1016,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1017,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1018,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O1019,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O102,86.0,96.0,10.0,2017-10-14 01:26:00,2017-10-14 01:36:00,0,1
O1020,0.0,5.0,5.0,2017-10-14 00:00:00,2017-10-14 00:05:00,0,1
O103,90.0,98.0,8.0,2017-10-14 01:30:00,2017-10-14 01:38:00,0,1
O106,95.0,103.0,8.0,2017-10-14 01:35:00,2017-10-14 01:43:00,0,1
O113,86.0,96.0,10.0,2017-10-14 01:26:00,2017-10-14 01:36:00,0,1
O116,5.0,35.0,30.0,2017-10-14 00:05:00,2017-10-14 00:35:00,0,1
O122,86.0,96.0,10.0,2017-10-14 01:26:00,2017-10-14 01:36:00,0,1
O128,47.0,62.0,15.0,2017-10-14 00:47:00,2017-10-14 01:02:00,0,1
O134,50.0,62.0,12.0,2017-10-14 00:50:00,2017-10-14 01:02:00,0,1
O135,47.0,62.0,15.0,2017-10-14 00:47:00,2017-10-14 01:02:00,0,1
O138,5.0,27.0,22.0,2017-10-14 00:05:00,2017-10-14 00:27:00,0,1
O139,5.0,95.0,90.0,2017-10-14 00:05:00,2017-10-14 01:35:00,0,1
O141,86.0,96.0,10.0,2017-10-14 01:26:00,2017-10-14 01:36:00,0,1
O145,96.0,104.0,8.0,2017-10-14 01:36:00,2017-10-14 01:44:00,0,1
O146,50.0,62.0,12.0,2017-10-14 00:50:00,2017-10-14 01:02:00,0,1
O147,5.0,27.0,22.0,2017-10-14 00:05:00,2017-10-14 00:27:00,0,1
O150,35.0,50.0,15.0,2017-10-14 00:35:00,2017-10-14 00:50:00,0,1
O151,55.0,67.0,12.0,2017-10-14 00:55:00,2017-10-14 01:07:00,0,1
O153,79.0,90.0,11.0,2017-10-14 01:19:00,2017-10-14 01:30:00,0,1
O154,77.0,88.0,11.0,2017-10-14 01:17:00,2017-10-14 01:28:00,0,1
O155,30.0,50.0,20.0,2017-10-14 00:30:00,2017-10-14 00:50:00,0,1
O156,77.0,88.0,11.0,2017-10-14 01:17:00,2017-10-14 01:28:00,0,1
O157,77.0,88.0,11.0,2017-10-14 01:17:00,2017-10-14 01:28:00,0,1
O159,86.0,96.0,10.0,2017-10-14 01:26:00,2017-10-14 01:36:00,0,1
O162,65.0,77.0,12.0,2017-10-14 01:05:00,2017-10-14 01:17:00,0,1
O168,35.0,50.0,15.0,2017-10-14 00:35:00,2017-10-14 00:50:00,0,1
